MUNICÍPIO;ESTADO;ISOPLETA
ACRELÂNDIA;ACRE;30m/s
ASSIS BRASIL;ACRE;30m/s
BRASILÉIA;ACRE;30m/s
BUJARI;ACRE;30m/s
CAPIXABA;ACRE;30m/s
CRUZEIRO DO SUL;ACRE;30m/s
EPITACIOLÂNDIA;ACRE;30m/s
FEIJÓ;ACRE;30m/s
JORDÃO;ACRE;30m/s
MÂNCIO LIMA;ACRE;30m/s
MANOEL URBANO;ACRE;30m/s
MARECHAL THAUMATURGO;ACRE;30m/s
PLÁCIDO DE CASTRO;ACRE;30m/s
PORTO ACRE;ACRE;30m/s
PORTO WALTER;ACRE;30m/s
RIO BRANCO;ACRE;30m/s
RODRIGUES ALVES;ACRE;30m/s
SANTA ROSA DO PURUS;ACRE;30m/s
SENA MADUREIRA;ACRE;30m/s
SENADOR GUIOMARD;ACRE;30m/s
TARAUACÁ;ACRE;30m/s
XAPURI;ACRE;30m/s
ÁGUA BRANCA;ALAGOAS;30m/s
ANADIA;ALAGOAS;30m/s
ARAPIRACA;ALAGOAS;30m/s
ATALAIA;ALAGOAS;30m/s
BARRA DE SANTO ANTÔNIO;ALAGOAS;30m/s
BARRA DE SÃO MIGUEL;ALAGOAS;30m/s
BATALHA;ALAGOAS;30m/s
BELÉM;ALAGOAS;30m/s
BELO MONTE;ALAGOAS;30m/s
BOCA DA MATA;ALAGOAS;30m/s
BRANQUINHA;ALAGOAS;30m/s
CACIMBINHAS;ALAGOAS;30m/s
CAJUEIRO;ALAGOAS;30m/s
CAMPESTRE;ALAGOAS;30m/s
CAMPO ALEGRE;ALAGOAS;30m/s
CAMPO GRANDE;ALAGOAS;30m/s
CANAPI;ALAGOAS;30m/s
CAPELA;ALAGOAS;30m/s
CARNEIROS;ALAGOAS;30m/s
CHÃ PRETA;ALAGOAS;30m/s
COITÉ DO NÓIA;ALAGOAS;30m/s
COLÔNIA LEOPOLDINA;ALAGOAS;30m/s
COQUEIRO SECO;ALAGOAS;30m/s
CORURIPE;ALAGOAS;30m/s
CRAÍBAS;ALAGOAS;30m/s
DELMIRO GOUVEIA;ALAGOAS;30m/s
DOIS RIACHOS;ALAGOAS;30m/s
ESTRELA DE ALAGOAS;ALAGOAS;30m/s
FEIRA GRANDE;ALAGOAS;30m/s
FELIZ DESERTO;ALAGOAS;30m/s
FLEXEIRAS;ALAGOAS;30m/s
GIRAU DO PONCIANO;ALAGOAS;30m/s
IBATEGUARA;ALAGOAS;30m/s
IGACI;ALAGOAS;30m/s
IGREJA NOVA;ALAGOAS;30m/s
INHAPI;ALAGOAS;30m/s
JACARÉ DOS HOMENS;ALAGOAS;30m/s
JACUÍPE;ALAGOAS;30m/s
JAPARATINGA;ALAGOAS;30m/s
JARAMATAIA;ALAGOAS;30m/s
JEQUIÁ DA PRAIA;ALAGOAS;30m/s
JOAQUIM GOMES;ALAGOAS;30m/s
JUNDIÁ;ALAGOAS;30m/s
JUNQUEIRO;ALAGOAS;30m/s
LAGOA DA CANOA;ALAGOAS;30m/s
LIMOEIRO DE ANADIA;ALAGOAS;30m/s
MACEIÓ;ALAGOAS;30m/s
MAJOR ISIDORO;ALAGOAS;30m/s
MAR VERMELHO;ALAGOAS;30m/s
MARAGOGI;ALAGOAS;30m/s
MARAVILHA;ALAGOAS;30m/s
MARECHAL DEODORO;ALAGOAS;30m/s
MARIBONDO;ALAGOAS;30m/s
